,x0,x1,x2,x3,x4,x5,x6,x7,z,d,s,q
328,389,310,146,490,588,303,794,361,1,0,0,0
329,31,341,377,287,588,303,794,361,1,1,0,0
330,114,288,359,250,405,268,798,337,1,0,0,0
331,10,301,300,250,461,290,798,344,1,0,0,0
332,389,310,146,490,588,303,794,361,1,0,0,0
333,389,310,146,490,606,312,794,345,1,0,0,1
334,389,310,146,490,495,323,793,414,1,0,0,0
335,389,310,146,490,509,278,796,333,1,0,0,1
336,389,310,146,490,476,250,795,300,1,1,0,0
337,389,310,146,490,402,250,792,311,1,0,0,0
338,389,310,146,490,466,265,798,329,1,0,0,0
339,389,310,146,490,588,303,794,361,1,0,0,0
340,389,310,146,490,425,250,795,309,1,0,0,0
341,389,310,146,490,431,267,798,339,1,0,0,0
342,389,310,146,490,547,288,798,346,1,0,0,0
343,389,310,146,490,424,250,798,329,1,0,0,0
344,389,310,146,490,422,250,798,323,1,0,0,0
345,389,310,146,490,521,272,797,320,0,0,0,0
346,389,310,146,490,483,251,794,300,0,0,0,1
347,10,389,209,324,588,303,794,361,0,1,1,0
348,389,310,146,490,588,303,794,361,0,0,1,0
349,389,310,146,490,588,303,794,361,1,0,0,0
350,389,310,146,490,588,303,794,361,0,0,0,0
351,389,310,146,490,637,448,699,460,0,0,0,0
352,389,310,146,490,647,429,697,441,0,0,0,0
353,389,310,146,490,588,303,794,361,0,0,0,0
354,10,500,93,473,588,303,794,361,1,1,0,0
355,389,310,146,490,588,303,794,361,1,1,0,0
356,389,310,146,490,588,303,794,361,1,0,0,0
357,389,310,146,490,588,303,794,361,1,0,0,1
358,389,310,146,490,588,303,794,361,1,0,0,0
359,389,310,146,490,588,303,794,361,1,0,0,0
360,96,328,316,285,461,256,699,293,1,0,0,0
361,389,310,146,490,403,300,748,367,1,0,0,0
362,389,310,146,490,438,281,798,384,1,0,0,0
363,48,294,279,254,588,303,794,361,1,0,0,0
364,389,310,146,490,588,303,794,361,1,0,0,0
365,389,310,146,490,588,303,794,361,1,0,0,0
