Unnamed: 0.1,Unnamed: 0,x,y,w,h,label,z,d,s,q
381,381,510,274,560,294,1,1,0,0,0
382,382,584,209,800,393,1,1,0,0,0
383,383,491,273,557,297,1,1,0,0,0
384,384,492,285,570,309,1,1,0,0,0
385,385,306,260,328,274,1,1,0,0,0
386,386,476,262,670,356,1,1,0,0,0
387,387,115,255,217,335,1,1,0,0,0
388,388,40,238,300,354,1,1,0,0,0
389,389,584,228,672,320,1,1,0,0,0
390,390,263,254,299,276,1,1,0,0,1
391,391,18,232,200,314,1,1,0,0,1
392,392,76,254,148,304,1,1,0,0,1
393,393,60,250,88,264,1,1,0,0,0
394,394,644,200,782,308,1,1,1,0,0
395,395,70,235,236,329,1,1,0,0,0
396,396,310,250,388,276,1,0,0,0,0
397,397,302,235,324,247,1,1,1,0,0
398,398,287,242,311,258,1,1,0,0,0
399,399,134,232,186,254,1,1,0,0,0
400,400,20,244,86,278,1,1,0,0,1
401,401,484,246,820,462,1,1,1,0,0
402,402,192,244,202,284,1,0,0,0,1
403,403,428,229,450,269,1,1,0,0,1
404,404,506,230,698,304,1,0,0,0,0
405,405,434,244,446,276,1,1,0,0,0
406,406,356,237,390,293,1,1,0,0,1
407,407,64,262,248,336,1,1,0,0,0
408,408,218,212,240,224,1,0,0,1,1
409,409,335,228,355,242,1,0,0,1,0
410,410,382,228,408,246,1,0,0,0,0
411,411,358,224,402,246,1,0,0,0,0
412,412,510,272,572,302,1,0,0,1,0
413,413,409,248,495,336,1,1,0,0,0
414,414,346,226,426,306,1,1,0,0,1
415,415,310,234,386,308,1,1,0,0,0
416,416,316,242,496,340,1,1,0,0,0
417,417,230,247,408,357,1,0,0,0,0
418,418,260,203,670,459,1,0,0,1,1
419,419,56,160,398,332,1,0,0,0,1
420,420,178,183,522,347,1,1,1,0,0
421,421,509,210,801,416,1,1,1,0,0
422,422,646,249,796,445,1,1,1,0,0
423,423,0,110,162,328,1,1,0,0,0
424,424,4,74,158,416,1,1,0,0,0
425,425,148,232,164,246,1,1,0,0,0
426,426,576,220,586,248,1,0,0,1,0
427,427,488,225,698,265,1,1,1,0,0
428,428,354,234,542,276,1,1,0,0,0
